mincul_texto
[CONVOCATORIA] XII Encuentro Internacional de Productores: Taller de formación de productores cinematográficos
"V Encuentro de artistas, artesanos y diseñadores: Integrando experiencias ante los nuevos escenarios"
[Festival] Tercer festival de la palabra PUCP del 19 al 23 de octubre.
Conecta 2016: “ESPACIO IDEA” convoca emprendedores culturales. Inscripciones hasta el 25 de setiembre
"[SEMINARIO] Literatura, pintura y arquitectura en el discurso cultural en el Perú"
Talleres y especialización
CONECTA: CULTURA Y EMPRENDIMIENTO. ENCUENTRO CONECTA 2016
[Taller] Formación actoral y pedagogía teatral por Débora Astrosky
Educación de la voz. Centro Cultural UDEP
¿Qué es el ser humano? Un curso de Antropología. Centro Cultural UDEP
"[Taller] Introducción a las políticas culturales dirigido por Santiago Alfaro. Miércoles 21 y 28 de setiembre, 5,19 y 26 de octubre"
PROGRAMA DE ARTES EN LA ESCUELA – PASEE 2016. Sesión sábado 10 de setiembre Tema: Danza
[Talleres de Arte Ministerio de Cultura] Inscripciones  hasta el 07 de setiembre.
Inscripciones para los TALLERES CREATIVOS AGOSTO /// 2016. Espacio Los Únicos
Talleres y especialización
PROGRAMA DE ARTES EN LA ESCUELA – PASEE 2016. Sesión sábado 13 de agosto. Tema: Teatro
[CONVOCATORIA] Clase Maestra de la compañía de danza “ULTIMA VEZ” dictada por el reconocido coreógrafo Iñaki Azpillaga. Postulaciones hasta el 5 de agosto
Renato Moriconi y Diego Bianki en el MAC. Actividades preparatorias para el “I Encuentro Nacional de Ilustradores 2017”
Talleres de Arte – Ministerio de Cultura . Mes de julio 2016
[TALLER] BNP PRESENTARÁ “PROTECCIÓN DEL PATRIMONIO BIBLIOGRÁFICO ANTE LOS RIESGOS OCASIONADOS POR EL FENÓMENO DEL NIÑO”
Tulpu – Plataforma online
Inscripciones para los TALLERES CREATIVOS JUNIO /// 2016:::
[Talleres] Actuación y Pedagogía Teatral por la argentina Débora Astrosky en Lima. 21 de mayo 2016
